"NET_INCOME","OP_PROFIT_LOSS","OP_REVENUES","PAX_SERVICE","AIRCFT_SERVICES","PROMOTION_SALES","OP_EXPENSES","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER","CARRIER_NAME","REGION","YEAR","QUARTER",
-2315.00,-1691.00,85187.00,12274.00,7298.00,3576.00,86878.00,20095,"WO (1)","World Airways Inc.","WO","World Airways Inc.","I",2001,3,
-2313.65,-2313.65,819.40,0.00,0.00,0.00,3133.05,21629,"KD","Western Global","KD","Western Global","I",2014,3,
-2312.93,-2310.92,31362.54,0.00,1106.98,0.00,33673.46,19874,"8C","Air Transport International","8C","Air Transport International","D",2017,2,
-2310.00,-2243.00,2430.00,27.00,395.00,284.00,4673.00,20095,"WO (1)","World Airways Inc.","WO","World Airways Inc.","D",2002,2,
-2309.64,-2105.36,5768.31,0.00,0.00,0.00,7873.68,20166,"GFQ","Gulf And Caribbean Cargo","GFQ","Gulf And Caribbean Cargo","I",2013,2,
-2308.00,-3411.00,41764.00,5841.00,4362.00,13749.00,45175.00,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.","P",1990,2,
-2307.76,-2215.66,24952.56,,,,27168.22,20050,"WA","Worldwide Airlines Services","WA","Worldwide Airlines Services","D",1994,2,
-2307.00,7438.70,67351.94,,6512.36,533.40,59913.24,20057,"EZ","Evergreen International Inc.","EZ","Evergreen International Inc.","P",2000,4,
-2301.00,-3812.00,62780.00,2376.00,9980.00,9972.00,66592.00,19687,"QX","Horizon Air","QX","Horizon Air","D",1995,1,
-2297.00,-1737.00,5119.79,,,,6854.29,20207,"XP","XTRA Airways","XP","Casino Express","D",2012,2,
-2295.00,-2261.00,39842.00,,,,42103.00,20297,"JI (1)","Midway Airlines Inc.","JI","Midway Airlines Inc.","D",1996,3,
-2294.85,-2280.67,23572.67,,,,25853.34,20147,"T9","TransMeridian Airlines","T9","TransMeridian Airlines","I",2005,2,
-2292.98,4366.14,286932.59,,1300.78,,282566.45,19898,"TNQ","Emery Worldwide Airlines","TNQ","Emery Worldwide Airlines","D",1999,4,
-2287.38,-2175.49,13678.68,1290.63,2962.54,1468.29,15854.17,20422,"SY","Sun Country Airlines d/b/a MN Airlines","SY","Sun Country Airlines d/b/a MN Airlines","L",2015,4,
-2286.07,-2089.05,2791.85,,238.08,0.00,4880.91,19898,"TNQ","Emery Worldwide Airlines","TNQ","Emery Worldwide Airlines","I",1996,2,
-2284.51,-1927.92,50241.63,1586.41,9330.43,5387.26,52169.55,20237,"AX","Trans States Airlines","9N","Trans States Airlines","D",2000,1,
-2283.68,-2238.83,3703.65,,,,5942.48,19952,"KW","Carnival Air Lines Inc.","KW","Carnival Air Lines Inc.","L",1997,4,
-2281.01,-1247.98,13813.89,42.67,1683.13,377.77,15061.86,20194,"JW","Arrow Air Inc.","JW","Arrow Air Inc.","L",1995,1,
-2280.30,-2191.66,14292.84,,,,16484.49,20143,"KP","Kiwi International","KP","Kiwi International","D",1993,2,
-2278.96,-2279.37,21992.00,1761.97,3314.27,185.71,24271.38,20344,"RD","Ryan International Airlines","RD","Ryan International Airlines","I",2012,3,
-2276.63,-2117.28,4192.98,,,,6310.26,20335,"E9 (1)","Boston-Maine Airways","E9","Boston-Maine Airways","D",2006,4,
-2276.00,-2562.00,8969.00,1517.00,1595.00,1736.00,11531.00,20355,"US","US Airways Inc.","US","USAir","L",1992,2,
-2275.15,-2179.07,6961.58,0.00,478.91,-1.41,9140.64,21236,"0JQ","Vision Airlines","0JQ","Vision Airlines","D",2013,2,
-2274.82,-2335.62,-2382.33,1.05,58.72,8.71,-46.71,21645,"23Q","Songbird Airways Inc.","23Q","Songbird Airways Inc.","D",2017,2,
-2271.15,-1350.06,80156.03,8971.45,12682.34,10150.85,81506.09,19690,"HA","Hawaiian Airlines Inc.","HA","Hawaiian Airlines Inc.","D",1995,2,
-2269.08,-1599.13,5727.56,,646.66,235.99,7326.69,20042,"SAQ","Southern Air Transport Inc.","SAQ","Southern Air Transport Inc.","D",1995,4,
-2267.00,-2066.00,6518.00,1299.00,1337.00,727.00,8584.00,20088,"FF","Tower Air Inc.","FF","Tower Air Inc.","L",1996,2,
-2266.64,-2281.85,38494.98,0.00,3738.15,0.00,40776.83,21629,"KD","Western Global","KD","Western Global","I",2018,1,
-2262.26,-2189.21,11412.57,717.82,1490.39,287.18,13601.78,19991,"HP","America West Airlines Inc.","HP","America West Airlines Inc.","L",1999,4,
-2262.04,-1760.46,9150.09,,,,10910.55,,"","","NC","","D",2005,1,
-2261.00,-2118.00,442370.00,47814.00,89382.00,53261.00,444488.00,19930,"AS","Alaska Airlines Inc.","AS","Alaska Airlines Inc.","D",2002,2,
-2260.00,-3971.00,37612.00,3195.00,6180.00,5358.00,41583.00,19930,"AS","Alaska Airlines Inc.","AS","Alaska Airlines Inc.","L",2000,4,
-2255.24,-1842.88,10128.15,,,,11971.03,20147,"T9","TransMeridian Airlines","T9","TransMeridian Airlines","D",2003,4,
-2251.81,-1578.61,5802.29,,,,7380.90,20173,"CDQ","Kitty Hawk International","CDQ","American International Airways Inc.","I",1991,3,
-2251.68,-2215.73,3620.88,,,,5836.61,20050,"WA","Worldwide Airlines Services","WA","Worldwide Airlines Services","L",1994,4,
-2251.16,-1817.32,66905.73,6536.63,12291.97,5728.89,68723.04,20088,"FF","Tower Air Inc.","FF","Tower Air Inc.","A",1992,4,
-2250.63,10274.52,283215.88,32070.17,47617.47,46149.27,272941.37,20211,"TW","Trans World Airways LLC","TW","Trans World Airlines Inc.","A",1994,3,
-2248.21,-2180.79,43936.23,5646.25,6326.82,3947.09,46117.02,20312,"TZ","ATA Airlines d/b/a ATA","TZ","American Trans Air Inc.","A",1997,4,
-2246.64,-1609.57,22151.91,1060.19,4148.18,1891.24,23761.48,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines","L",2006,1,
-2245.03,-3214.56,12600.55,1739.64,1816.31,592.05,15815.11,20088,"FF","Tower Air Inc.","FF","Tower Air Inc.","L",1995,4,
-2242.91,-338.62,30796.55,,1048.30,124.24,31135.16,20151,"M6","Amerijet International","M6","Amerijet International","L",2007,2,
-2236.45,-2228.13,4568.22,,,,6796.36,20149,"PRQ","Florida West Airlines Inc.","PRQ","Florida West Airlines Inc.","I",1993,4,
-2233.10,-1673.08,72432.41,,12931.76,3376.74,74105.48,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","A",2003,2,
-2231.00,7982.00,309755.00,,15295.00,294.00,301773.00,20453,"ABX","ABX Air Inc","ABX","ABX Air Inc","D",2008,3,
